Copper Basin (on Colorado aqueduct)Copper Wash,16/860,22/000,5/140,Metropolitan WaterDistrict of South-ern California
CourtrightHelms Creek,9,129/900,129/900,Pacific Gas andElectric Co
CoyoteCoyote Creek,°,24/510,24/510,Santa Clara ValleyWater Conser-vation District
Coyote FlatCoyote Creek,-,-,-,T E Connolly
CuyamacaBoulder Creek,0,11/540,11/540,La Mesa/ LemonGrove/ SpringValley IrrigationDistrict
Crystal Springs (Lower)San Mateo Creek,-,-,-,City and County ofSan Francisco
Dallas-WarnerTuolumne River c/,2/000,27/000,25/000,Modesto IrrigationDistrict
Don PedroTuolumne River,30/000,290/400,b260/400,Turlock and Modesto‘Irrigation District
Donnell LakeMiddle Fork Stanislaus River,2/150,64/740,62/590,-
Donner LakeDonner Creek,-,-,9/500,Truckee-Carson Irrigation Districtand Sierra Paci fiPower Co
DorrisStookdill Slough,0,21/100,11/100,WJ and PS Dorris
DwinnellShasta River,0,72/000,72/000,Montague WaterConservationDistrict
East ParkLittle Stony Creek,265,50/880,50/615,Bureau ofReclamation
El CapitanSan Diego River,59,112/810,112/750,City of San Diego
EncinoEncino Creek,uu,10/300,10/300,City of Los Angeles
EnglebrightYuba River,25/000,70/000,45/000,Corps of Engineers
FairmontLos Angeles aqueduct c/,°,7/507,7/507,City of Los Angeles
Fallen Leaf LakeTaylor Creek,9,26/800,a6 /800,US Forest Service
Falien Leaf LakeTaylor Creek,-,-,a6 /400,US Forest Service
FarmingtonLittlejohn Creek,0,52/000,52/000,Corps of Engineers
Florence LakeSouth Fork San Joaquin River,168,64/570,64/400,Southern CaliforniaEdison Co / Ltd
French LakeCanyon Creek,89/ 800,-,1/010/300,Bureau ofReclamation
FrenchmanLittle Last Chance Creek,890,14/730,13/840,Nevada IrrigationDistrict
GemRush Creek,a3 /000,-,53/582,California StateDept of Water Res
GibraltarSanta Ynez River,-,-,17/604,California ElectricPower Co
Grant LakeRush Creek,716,14/777,14/061,City of SantaBarbara
HaiweeLos Angeles aqueduct,2/600,50/125,47/525,City of Los Angeles
HansenTujunga Creek,2/300,58/525,56/225,City of Los Angeles
Havasu Lake (Parker Dam)*Colorado River,1/370,33/370,32/000,Corps of Engineers
HaynesGoose Creek,°,619/400,180/000,Bureau ofReclamation
HernandezSan Benito River,°,6/600,6/600,Welch and Welch
